poltype	hbtype	occurence
3VAL	ring_1_BC	0.99
3VAL	ring_2_BC	0.94
3VAL	ring_3_BC	0.43
3VAL	ring_1_DC	0.92
3VAL	ring_2_DC	0.87
3VAL	ring_3_DC	0.45
2THR	ring_1_BC	0.89
2THR	ring_2_BC	0.85
2THR	ring_3_BC	0.62
2THR	ring_1_DC	0.68
2THR	ring_2_DC	0.27
2THR	ring_3_DC	0.47
1ALAGLY	ring_1_BC	0.94
1ALAGLY	ring_2_BC	0.81
1ALAGLY	ring_3_BC	0.56
1ALAGLY	ring_1_DC	0.83
1ALAGLY	ring_2_DC	0.73
1ALAGLY	ring_3_DC	0.63
1ALA	ring_1_BC	0.98
1ALA	ring_2_BC	0.93
1ALA	ring_3_BC	0.67
1ALA	ring_1_DC	0.87
1ALA	ring_2_DC	0.87
1ALA	ring_3_DC	0.78
1GLY	ring_1_BC	0.97
1GLY	ring_2_BC	0.76
1GLY	ring_3_BC	0.45
1GLY	ring_1_DC	0.64
1GLY	ring_2_DC	0.73
1GLY	ring_3_DC	0.69
2ASN	ring_1_BC	0.99
2ASN	ring_2_BC	0.71
2ASN	ring_3_BC	0.27
2ASN	ring_1_DC	0.97
2ASN	ring_2_DC	0.84
2ASN	ring_3_DC	0.41
3ILE	ring_1_BC	0.99
3ILE	ring_2_BC	0.48
3ILE	ring_3_BC	0.44
3ILE	ring_1_DC	0.28
3ILE	ring_2_DC	0.96
3ILE	ring_3_DC	0.75
